Candidate,Tweet,Year,Party
BernieSanders,"TONIGHT: Join me and more than 20 progressive candidates who are running to transform our country so it works for all of us, not just the wealthy.

Our agenda is on the ballot.",2020,Democrat
BernieSanders,"WE WILL WIN NEVADA: Let us stand together, elect Joe Biden and create a nation for all of us. Join our Nevada GOTV rally:",2020,Democrat
BernieSanders,"“Texas is changing, too. Young people are going to make up almost 40% of the electorate… and we will not stop after November 3rd. This is a life-long commitment to justice.” –Ofelia Alonso, 
@texrising",2020,Democrat
BernieSanders,"“When Trump scapegoats immigrants and attacks them, it is our communities [in South Texas] that are feeling the terror… We are tired of being spoken about and not heard from.",2020,Democrat
BernieSanders,"I am asking you tonight to find someone to bring to the polls.

It may be uncomfortable to reach out to your friends to vote.

But it is better to be uncomfortable today than to be uncomfortable on Wednesday morning if Trump wins by a few votes.",2020,Democrat
BernieSanders,Voters in Texas and around the country are shattering records. Don’t let up. Let’s do all we can the next two days to defeat Trump and defeat him badly. Join our live town hall now with,2020,Democrat
BernieSanders,Then Trump will continue his lies about voter fraud in an attempt to suppress enough votes to win. We will not allow that to happen. Every vote must and will be counted. 3/3,2020,Democrat
BernieSanders,"As I have warned many times, Trump is very likely to declare himself the winner at a moment when a large portion Republican-leaning, in-person votes have been counted, but before a vast number of Democratic mail-in ballots are counted. 2/3",2020,Democrat
BernieSanders,"This comes as no surprise. It has been Trump’s strategy for months, and nobody should fall for it. It’s why he is demonizing mail-in ballots and sabotaging the postal service. 1/3",2020,Democrat
BernieSanders,"Texas, not only do we have an opportunity to defeat Trump this Tuesday, but we have a chance to send progressives like 
@donnaimamTX
 to fight for our agenda in Congress.",2020,Democrat
BernieSanders,MINNESOTA: Turn in your ballots now! Go to http://iwillvote.com/MN to find a ballot drop-off or voting location near you.,2020,Democrat
BernieSanders,"What America leads in: 

#1: Covid-19 cases
#1: Medical debt
#1: Prescription drug prices
#1: Deaths from lack of insurance
#1: Student debt
#1: Prisoners
#1: Gun violence
#1: Military spending
#1: Trade deficit
#1: Billionaires

We need to change our national priorities.",2020,Democrat
BernieSanders,The polls look good. So what. That doesn't mean anything. This will be a very close race in state after state after state. In the next 3 days please do all you can to get everyone you know to vote. We can't have 4 more years of Trump.,2020,Democrat
BernieSanders,"In our struggle to build a compassionate nation with justice for all, we will only succeed by standing together. The first step is to vote by November 3rd. Join our GOTV rally with 
@KeithEllison
 now:",2020,Democrat
